#,Age,Club,LMSC,Name,Time
1,35,ARIZ,Arizona,R Sean Justice,16:38.48
2,38,MVN,Southern Pacific,Ryan E Cox,17:19.91
3,39,SYSM,Florida,Ramses Rodriguez,18:26.32
4,38,UNAT,Florida Gold Coast,Matt Hooper,18:39.89
5,35,FISH,Metropolitan,Matthew J Mauriello,19:25.64
6,38,NCMS,North Carolina,Derek Speerschneider,20:07.14
7,38,MVN,Southern Pacific,Steve Ripic,20:15.46
8,37,DCAC,Potomac Valley,WonKee Moon,20:17.52
9,38,LBG,Southern Pacific,Brian J Kremers,20:17.61
10,37,SDSM,San Diego - Imperial,David R Hughes,20:36.12
